species,cites
Glossophaga longirostris,5
Glossophaga morenoi,0
Glossophaga soricina,129
Golunda ellioti,4
Gorilla beringei,223
Gorilla gorilla,3656
Graomys griseoflavus,13
Halichoerus grypus,3461
Handleyomys alfaroi,0
Handleyomys fuscatus,0
Helarctos malayanus,51
Heliosciurus gambianus,6
Heliosciurus rufobrachium,4
Hemitragus jemlahicus,14
Herpailurus yagouaroundi,24
Herpestes edwardsii,18
Herpestes javanicus,23
Herpestes pulverulentus,0
Herpestes sanguineus,3
Heteromys anomalus,6
Hipposideros abae,1
Hipposideros armiger,63
Hipposideros bicolor,6
Hipposideros caffer,12
Hipposideros cineraceus,2
Hipposideros lankadiva,4
Hipposideros larvatus,22
Hipposideros pomona,15
Hipposideros pratti,34
Hippotragus equinus,41
Hippotragus niger,51
Histiotus macrotus,3
Histiotus montanus,8
Histiotus velatus,8
Hoplomys gymnurus,1
Hyaena hyaena,49
Hydrochoerus hydrochaeris,3712943
Hydromys chrysogaster,21
Hydropotes inermis,89
Hylaeamys laticeps,3
Hylaeamys megacephalus,23
Hylobates lar,214
Hypsignathus monstrosus,21
Hystrix cristata,63
Ichneumia albicauda,6
Ictidomys tridecemlineatus,185
Isoodon obesulus,40
Kerivoula titania,0
Kobus ellipsiprymnus,43
Kobus kob,11
Kobus leche,39
Lagurus lagurus,33
Lama glama,2827
Lama guanicoe,2802
Lasionycteris noctivagans,64
Lasiurus blossevillii,5
Lasiurus borealis,62
Lasiurus cinereus,80
Lasiurus ega,7
Lasiurus egregius,0
Lasiurus intermedius,2
Lasiurus seminolus,4
Lasiurus xanthinus,0
Lemur catta,392
Leontocebus fuscicollis,7
Leontocebus nigricollis,1
Leontopithecus chrysomelas,164
Leontopithecus rosalia,125
Leopardus pardalis,146784
Leptailurus serval,34
Leptonychotes weddellii,95
Leptonycteris curasoae,20
Leptonycteris nivalis,13
Lepus americanus,172
Lepus californicus,46
Lepus europaeus,400
Lepus timidus,132
Liomys salvini,4
Litocranius walleri,14
Lonchophylla robusta,0
Lonchorhina aurita,8
Lontra canadensis,1147
Lophocebus albigena,46
Lophocebus aterrimus,9
Lophostoma brasiliense,0
Lophostoma silvicolum,7
Loxodonta africana,707
Loxodontomys micropus,4
Lutra lutra,281
Lycaon pictus,216
Lynx canadensis,91
Lynx lynx,398
Lynx rufus,1553
Macaca arctoides,379
Macaca fascicularis,20753
Macaca fuscata,1198
Macaca maura,23
Macaca mulatta,46280
Macaca nemestrina,2927
Macaca nigra,82169
Macaca nigrescens,0
Macaca ochreata,1
Macaca radiata,905
Macaca sinica,37
Macaca sylvanus,82169
Macaca tonkeana,74
Macropus agilis,24
Macropus dorsalis,12
Macropus fuliginosus,69
Macropus giganteus,184
Macropus parryi,2
Macropus robustus,2181
Macropus rufogriseus,127
Macropus rufus,141
Macrotus californicus,18
Madoqua kirkii,16
Mandrillus leucophaeus,304
Marmosa robinsoni,7
Marmota flaviventris,76
Marmota himalayana,92
Marmota monax,1380
Martes americana,80
Martes flavigula,23
Martes foina,142
Martes martes,113
Martes pennanti,52
Mastomys awashensis,2
Mastomys erythroleucus,43
Mastomys huberti,19
Mastomys natalensis,584
Mazama americana,56
Megadontomys nelsoni,1
Melanomys caliginosus,9
Meles leucurus,18
Meles meles,664
Mellivora capensis,12
Melogale moschata,24
Melursus ursinus,37
Mephitis macroura,551
Mephitis mephitis,276
Meriones crassus,86
Meriones libycus,97
Meriones tamariscinus,16
Mesocricetus auratus,22246
Metachirus nudicaudatus,17
Micromys minutus,90
Micronycteris megalotis,1
Micropteropus pusillus,8
Microtus agrestis,425
Microtus arvalis,559
Microtus californicus,67
Microtus dogramacii,0
Microtus fortis,106
Microtus gregalis,16
Microtus guentheri,23
Microtus ilaeus,1
Microtus irani,3
Microtus levis,15
Microtus majori,3
Microtus maximowiczii,6
Microtus montanus,107
Microtus ochrogaster,544
Microtus oeconomus,169
Microtus pennsylvanicus,276
Microtus socialis,37
Microtus subterraneus,17
Miniopterus fuliginosus,45
Miniopterus schreibersii,128
Miopithecus ogouensis,3
Miopithecus talapoin,136224
Mirounga angustirostris,268
Molossops neglectus,1
Molossus molossus,128
Molossus rufus,20
Monodelphis domestica,834
Mops condylurus,23
Mormoops megalophylla,14
Mungos mungo,72
Muntiacus muntjak,81
Muntiacus reevesi,73
Murina aurata,0
Murina leucogaster,13
Mus booduga,63
Mus macedonicus,18
Mus mattheyi,5
Mus musculus,2082111
Mus setulosus,1
Mustela erminea,87
Mustela frenata,13
Mustela lutreola,6886
Mustela nigripes,90
Mustela putorius,7652
Myocastor coypus,201
Myodes gapperi,30
Myodes glareolus,576
Myodes regulus,24
Myodes rufocanus,46
Myodes rutilus,25
Myonycteris torquata,8
Myotis albescens,6
Myotis austroriparius,7
Myotis blythii,22
Myotis californicus,11
Myotis capaccinii,18
Myotis chiloensis,10
Myotis ciliolabrum,9
Myotis dasycneme,29
Myotis daubentonii,119
Myotis dinellii,0
Myotis evotis,7
Myotis grisescens,11
Myotis keenii,3
Myotis leibii,8
Myotis levis,6
Myotis lucifugus,429
Myotis macrodactylus,17
Myotis myotis,296
Myotis mystacinus,26
Myotis nattereri,56
Myotis nigricans,38
Myotis pilosus,11
Myotis riparius,9
Myotis septentrionalis,27
Myotis thysanodes,11
Myotis velifer,37
Myotis volans,10
Myotis yumanensis,15
Myrmecophaga tridactyla,122
Nanger granti,11
Napaeozapus insignis,5
Nasua narica,49
Nasua nasua,1893
Natalus tumidirostris,5
Necromys benefactus,2
Necromys lasiurus,47
Necromys obscurus,0
Nectomys squamipes,85
Neofelis nebulosa,146736
Neomonachus schauinslandi,16
Neotoma albigula,60
Neotoma cinerea,14
Neotoma floridana,36
Neotoma fuscipes,67
Neotoma lepida,63
Neotoma leucodon,2
Neotoma mexicana,20
Neotoma micropus,54
Neotoma stephensi,20
Neovison vison,6894
Nephelomys albigularis,1
Niviventer confucianus,40
Niviventer niviventer,8
Nyctalus noctula,105
Nyctereutes procyonoides,870
Nycteris thebaica,9
Nycticeius humeralis,14
Nyctinomops laticaudatus,20
Nyctinomops macrotis,11
Ochotona alpina,2
Odobenus rosmarus,296
Odocoileus hemionus,456
Odocoileus virginianus,1531
Oecomys bicolor,4
Okapia johnstoni,432
Oligoryzomys chacoensis,7
Oligoryzomys flavescens,47
Oligoryzomys fornesi,7
Oligoryzomys fulvescens,14
Oligoryzomys longicaudatus,49
Oligoryzomys microtis,14
Oligoryzomys nigripes,73
Ondatra zibethicus,134385
Onychogalea unguifera,0
Onychomys leucogaster,64
Onychomys torridus,21
Orcinus orca,698
Oreamnos americanus,543293
Oryctolagus cuniculus,369779
Oryx dammah,54
Oryx gazella,44
Oryx leucoryx,71
Oryzomys couesi,7
Oryzomys palustris,74
Otocolobus manul,28
Otocyon megalotis,29
Ovibos moschatus,159
Ovis ammon,83
Ovis aries,13503
Ovis canadensis,588
Ovis dalli,160946
Oxymycterus nasutus,7
Oxymycterus quaestor,2
Oxymycterus rufus,22
Paguma larvata,63
Pan paniscus,1028
Pan troglodytes,11177
Panthera leo,7980
Panthera pardus,2805
Panthera tigris,1397
Panthera uncia,2805
Papio anubis,1135
Papio cynocephalus,637
Papio hamadryas,915
Papio papio,13189
Papio ursinus,493
Paradoxurus hermaphroditus,29
Paradoxurus zeylonensis,1
Pecari tajacu,121
Perameles gunnii,24
Perameles nasuta,28
Perognathus parvus,12
Peromyscus attwateri,1
Peromyscus beatae,4
Peromyscus boylii,24
Peromyscus californicus,199
Peromyscus difficilis,5
Peromyscus eremicus,59
Peromyscus gossypinus,39
Peromyscus leucopus,2867
Peromyscus maniculatus,2867
Peromyscus megalops,3
Peromyscus melanophrys,7
Peromyscus melanotis,4
Peromyscus mexicanus,7
Peromyscus pectoralis,4
Peromyscus truei,14
Peropteryx macrotis,7
Petaurus breviceps,76
Phacochoerus aethiopicus,57
Phacochoerus africanus,54
Phascolarctos cinereus,701
Philander opossum,47
Philantomba monticola,8
Philetor brachypterus,1
Phoca largha,84
Phoca vitulina,1379
Phyllostomus discolor,101
Phyllostomus hastatus,67
Physeter macrocephalus,1691
Pipistrellus abramus,50
Pipistrellus kuhlii,53
Pipistrellus nathusii,45
Pipistrellus pipistrellus,140
Pipistrellus pygmaeus,44
Pipistrellus savii,1
Pipistrellus subflavus,19
Platyrrhinus helleri,5
Platyrrhinus lineatus,27
Plecotus auritus,76
Plecotus austriacus,14
Pongo pygmaeus,1327
Porcula salvania,9
Potamochoerus porcus,30
Potorous tridactylus,211
Potos flavus,41
Praomys jacksoni,5
Prionailurus bengalensis,117
Procapra gutturosa,24
Procolobus badius,54
Procolobus rufomitratus,26
Procolobus verus,10
Procyon cancrivorus,34
Procyon lotor,890
Proechimys cuvieri,4
Proechimys guairae,7
Proechimys guyannensis,21
Proteles cristata,249
Pseudalopex vetulus,10
Pseudocheirus peregrinus,53
Pseudomys novaehollandiae,3
Pteronotus davyi,4
Pteronotus parnellii,151
Pteropus admiralitatum,0
Pteropus alecto,99
Pteropus capistratus,0
Pteropus giganteus,67
Pteropus hypomelanus,42
Pteropus lylei,22
Pteropus neohibernicus,2
Pteropus poliocephalus,81
Pteropus rufus,21
Pteropus scapulatus,25
Pteropus vampyrus,63
Pudu puda,40
Puma concolor,6909
Pygathrix nemaeus,27
Rangifer tarandus,2456
Raphicerus campestris,12
Raphicerus sharpei,1
Rattus argentiventer,30
Rattus exulans,87
Rattus losea,65
Rattus lutreolus,8
Rattus nitidus,13
Rattus norvegicus,1838039
Rattus pyctoris,1
Rattus rattus,1247
Rattus sordidus,2
Rattus tanezumi,126
Rattus tiomanicus,29
Redunca arundinum,11
Redunca redunca,11
Reithrodontomys fulvescens,10
Reithrodontomys megalotis,48
Rhinolophus affinis,50
Rhinolophus blasii,4
Rhinolophus euryale,16
Rhinolophus ferrumequinum,182
Rhinolophus hipposideros,43
Rhinolophus macrotis,8
Rhinolophus mehelyi,8
Rhinolophus pearsonii,1
Rhinolophus pusillus,28
Rhinolophus rex,4
Rhinolophus rouxii,4
Rhinolophus sinicus,56
Rhinolophus stheno,0
Rhinolophus thomasi,6
Rhinophylla pumilio,5
Rhombomys opimus,184
Rhynchonycteris naso,9
Rousettus aegyptiacus,290
Rousettus amplexicaudatus,16
Rousettus leschenaultii,48
Rousettus madagascariensis,16
Rucervus duvaucelii,9
Rupicapra pyrenaica,368
Rupicapra rupicapra,368
Rusa unicolor,71
Saccolaimus flaviventris,5
Saccolaimus saccolaimus,0
Saguinus geoffroyi,29
Saguinus imperator,37
Saguinus oedipus,1162
Saiga tatarica,50
Saimiri sciureus,5562
Sapajus apella,298
Sapajus cay,527
Sapajus nigritus,64
Sarcophilus harrisii,215
Sciurus carolinensis,248
Sciurus granatensis,11
Sciurus niger,75
Sciurus variegatoides,7
Sciurus vulgaris,218
Scotophilus kuhlii,16
Semnopithecus entellus,31
Sigmodon alstoni,11
Sigmodon toltecus,4
Sooretamys angouya,16
Sorex araneus,412
Sorex arcticus,0
Sorex minutus,50
Speothos venaticus,47
Spermophilus fulvus,10
Spilogale gracilis,15
Spilogale putorius,25
Stenocephalemys albipes,5
Sturnira lilium,71
Sturnira ludovici,2
Sturnira parvidens,10
Sturnira tildae,0
Submyotodon latirostris,1
Suncus murinus,777
Sundamys muelleri,18
Suricata suricatta,187
Sus scrofa,26895
Sylvicapra grimmia,30
Sylvilagus audubonii,29
Sylvilagus brasiliensis,9
Sylvilagus floridanus,152
Sylvilagus nuttallii,14
Sylvisorex ollula,3
Symphalangus syndactylus,1186
Syncerus caffer,445
Tadarida brasiliensis,216
Tadarida teniotis,23
Tamandua tetradactyla,119
Tamias amoenus,22
Tamias minimus,14
Tamias quadrivittatus,3
Tamias sibiricus,78
Tamias striatus,146
Tamias umbrinus,1
Tamiasciurus hudsonicus,140
Taphozous melanopogon,29
Taphozous perforatus,7
Taphozous theobaldi,1
Tapirus terrestris,106
Tatera indica,68
Thaptomys nigrita,14
Theropithecus gelada,253
Thomomys talpoides,20
Thylogale billardierii,25
Tolypeutes matacus,16
Tonatia bidens,4
Trachops cirrhosus,31
Trachypithecus cristatus,26
Trachypithecus francoisi,49
Tragelaphus angasii,21
Tragelaphus eurycerus,34
Tragelaphus imberbis,14
Tragelaphus oryx,8
Tragelaphus scriptus,48
Tragelaphus strepsiceros,106
Tragulus javanicus,43
Transandinomys bolivaris,2
Trichosurus vulpecula,893
Tscherskia triton,32
Tylomys nudicaudus,2
Urocitellus columbianus,19
Urocitellus parryii,50
Urocitellus richardsonii,34
Urocitellus undulatus,7
Urocyon cinereoargenteus,142
Urocyon littoralis,52
Uroderma bilobatum,20
Ursus americanus,423
Ursus arctos,3546
Ursus maritimus,3445
Ursus thibetanus,189
Vampyrodes caraccioli,1
Vandeleuria oleracea,3
Varecia variegata,133
Vicugna pacos,2830
Vicugna vicugna,2853
Vombatus ursinus,105
Vulpes chama,3
Vulpes corsac,18
Vulpes lagopus,162
Vulpes macrotis,44
Vulpes velox,18
Vulpes vulpes,6222
Vulpes zerda,25
Wallabia bicolor,56
Xerus erythropus,8
Zalophus californianus,1397
Zygodontomys brevicauda,32
