,vfamily,dataset,variable,lambda,lambda_lower,lambda_lower_p,lambda_upper,lambda_upper_p
1,all viruses,all mammals,meanCFR,0.687359465,0.576682594,0,0.77854253,1.00E-06
2,all viruses,all mammals,maxCFR,0.641477222,0.534596812,0,0.732655585,1.00E-06
3,all viruses,all mammals,on.frac,0.854613274,0.79896838,0,0.895484726,1.00E-06
4,all viruses,bats only,meanCFR,0.872892209,0.688210852,1.27E-14,0.946751205,1.00E-06
5,all viruses,bats only,maxCFR,0.711140615,0.403019943,4.02E-08,0.8710685,1.00E-06
6,all viruses,bats only,on.frac,0.808893824,0.603364929,1.15E-13,0.910929077,1.00E-06
7,coronaviridae,all mammals,meanCFR,1,0.987159678,0,NA,1.00E-06
8,coronaviridae,all mammals,maxCFR,1,0.988226878,0,NA,1.00E-06
9,coronaviridae,bats only,meanCFR,1,0.986866892,3.55E-12,NA,1.00E-06
10,coronaviridae,bats only,maxCFR,1,0.987181397,3.04E-12,NA,1.00E-06
11,flaviviridae,all mammals,meanCFR,0.790294614,0.650537186,0,0.888699526,1.00E-06
12,flaviviridae,all mammals,maxCFR,0.666364835,0.511272401,0,0.793797468,1.00E-06
13,flaviviridae,all mammals,on.frac,0.697382285,0.557679958,0,0.808062026,1.00E-06
14,flaviviridae,bats only,meanCFR,0.965917399,0.652129291,1.34E-05,0.999712527,1.00E-06
15,flaviviridae,bats only,maxCFR,1.00E-06,NA,1,0.331813483,1.00E-06
16,flaviviridae,bats only,on.frac,0.517213216,0.086597027,0.029654074,0.820642536,1.00E-06
17,rhabdoviridae,all mammals,meanCFR,0.722738478,0.574601778,0,0.830046039,1.00E-06
18,rhabdoviridae,all mammals,maxCFR,0.87004275,0.769226315,0,0.926993635,1.00E-06
19,rhabdoviridae,bats only,meanCFR,0.520713376,0.228270408,8.28E-06,0.799127719,1.00E-06
20,rhabdoviridae,bats only,maxCFR,1.00E-06,NA,1,NA,1.00E-06
21,togaviridae,all mammals,meanCFR,0.711816714,0.39035089,1.42E-07,0.889211137,1.00E-06
22,togaviridae,all mammals,maxCFR,0.610018146,0.363786188,7.21E-11,0.796579531,1.00E-06
23,togaviridae,all mammals,on.frac,1,0.995420702,0,NA,1.00E-06
24,togaviridae,bats only,meanCFR,0.504501152,NA,0.806855864,0.949036719,1.00E-06
25,togaviridae,bats only,maxCFR,1.00E-06,NA,1,0.631517125,1.00E-06
26,togaviridae,bats only,on.frac,1,0.993314352,4.80E-08,NA,1.00E-06
27,paramyxoviridae,all mammals,meanCFR,1.00E-06,NA,1,0.71889799,1.00E-06
28,paramyxoviridae,all mammals,maxCFR,0.894419239,0.333382305,0.032326641,0.975212738,1.00E-06
29,paramyxoviridae,all mammals,on.frac,1.00E-06,NA,1,0.861035828,1.00E-06
30,paramyxoviridae,bats only,meanCFR,1.00E-06,NA,1,0.507120487,1.00E-06
31,paramyxoviridae,bats only,maxCFR,1.00E-06,NA,1,0.937412519,1.00E-06
32,paramyxoviridae,bats only,on.frac,0.962886572,NA,0.262720255,0.99915096,1.00E-06
