"","species","cites"
"1","Abrothrix longipilis",15
"2","Abrothrix olivaceus",15
"3","Abrothrix sanborni",15
"4","Acerodon celebensis",15
"5","Acinonyx jubatus",15
"6","Acomys cahirinus",15
"7","Acomys dimidiatus",15
"8","Addax nasomaculatus",15
"9","Aepyceros melampus",15
"10","Aethomys kaiseri",15
"11","Aethomys namaquensis",15
"12","Ailuropoda melanoleuca",15
"13","Ailurus fulgens",15
"14","Akodon azarae",15
"15","Akodon cursor",15
"16","Akodon molinae",15
"17","Akodon montensis",15
"18","Akodon paranaensis",15
"19","Akodon serrensis",15
"20","Akodon simulator",15
"21","Akodon varius",15
"22","Alcelaphus buselaphus",15
"23","Alces alces",15
"24","Alces americanus",15
"25","Allenopithecus nigroviridis",15
"26","Alouatta belzebul",15
"27","Alouatta caraya",15
"28","Alouatta guariba",15
"29","Alouatta palliata",15
"30","Alouatta pigra",15
"31","Alouatta sara",15
"32","Alouatta seniculus",15
"33","Alticola argentatus",15
"34","Ammospermophilus nelsoni",15
"35","Ammotragus lervia",15
"36","Anoura caudifer",15
"37","Anoura geoffroyi",15
"38","Antidorcas marsupialis",15
"39","Antilocapra americana",15
"40","Antilope cervicapra",15
"41","Antrozous pallidus",15
"42","Aotus azarae",15
"43","Aotus trivirgatus",15
"44","Apodemus agrarius",15
"45","Apodemus flavicollis",15
"46","Apodemus mystacinus",15
"47","Apodemus pallipes",15
"48","Apodemus peninsulae",15
"49","Apodemus ponticus",15
"50","Apodemus speciosus",15
"51","Apodemus sylvaticus",15
"52","Apodemus uralensis",15
"53","Arctocephalus australis",15
"54","Arctonyx collaris",15
"55","Artibeus fimbriatus",15
"56","Artibeus jamaicensis",15
"57","Artibeus lituratus",15
"58","Artibeus obscurus",15
"59","Artibeus planirostris",15
"60","Arvicanthis niloticus",15
"61","Arvicola amphibius",15
"62","Arvicola scherman",15
"63","Aselliscus stoliczkanus",15
"64","Ateles belzebuth",15
"65","Ateles fusciceps",15
"66","Ateles geoffroyi",15
"67","Ateles paniscus",15
"68","Atherurus africanus",15
"69","Atherurus macrourus",15
"70","Atilax paludinosus",15
"71","Axis axis",15
"72","Babyrousa babyrussa",15
"73","Baiomys taylori",15
"74","Balaena mysticetus",15
"75","Balaenoptera acutorostrata",15
"76","Balaenoptera borealis",15
"77","Balaenoptera physalus",15
"78","Bandicota bengalensis",15
"79","Bandicota indica",15
"80","Bandicota savilei",15
"81","Barbastella barbastellus",15
"82","Bassaricyon gabbii",15
"83","Bassariscus astutus",15
"84","Bettongia gaimardi",15
"85","Bibimys chacoensis",15
"86","Bison bison",15
"87","Bison bonasus",15
"88","Blastocerus dichotomus",15
"89","Bos frontalis",15
"90","Bos gaurus",15
"91","Bos grunniens",15
"92","Bos indicus",15
"93","Bos mutus",15
"94","Bos primigenius",15
"95","Bos taurus",15
"96","Boselaphus tragocamelus",15
"97","Bradypus tridactylus",15
"98","Bradypus variegatus",15
"99","Bubalus arnee",15
"100","Budorcas taxicolor",15
"101","Cabassous centralis",15
"102","Callicebus personatus",15
"103","Callimico goeldii",15
"104","Callithrix geoffroyi",15
"105","Callithrix jacchus",15
"106","Callithrix penicillata",15
"107","Callorhinus ursinus",15
"108","Callospermophilus lateralis",15
"109","Calomys callidus",15
"110","Calomys callosus",15
"111","Calomys fecundus",15
"112","Calomys laucha",15
"113","Calomys musculinus",15
"114","Calomys tener",15
"115","Caluromys derbianus",15
"116","Caluromys philander",15
"117","Camelus bactrianus",15
"118","Camelus dromedarius",15
"119","Canis adustus",15
"120","Canis aureus",15
"121","Canis latrans",15
"122","Canis lupus",15
"123","Canis mesomelas",15
"124","Canis simensis",15
"125","Capra aegagrus",15
"126","Capra caucasica",15
"127","Capra falconeri",15
"128","Capra hircus",15
"129","Capra ibex",15
"130","Capreolus capreolus",15
"131","Capricornis crispus",15
"132","Capricornis sumatraensis",15
"133","Caracal caracal",15
"134","Carollia brevicauda",15
"135","Carollia perspicillata",15
"136","Carollia sowelli",15
"137","Carollia subrufa",15
"138","Castor canadensis",15
"139","Castor fiber",15
"140","Cavia porcellus",15
"141","Cavia tschudii",15
"142","Cebuella pygmaea",15
"143","Cebus capucinus",15
"144","Cephalophus callipygus",15
"145","Ceratotherium simum",15
"146","Cercocebus agilis",15
"147","Cercocebus atys",15
"148","Cercocebus galeritus",15
"149","Cercocebus torquatus",15
"150","Cercopithecus ascanius",15
"151","Cercopithecus campbelli",15
"152","Cercopithecus cephus",15
"153","Cercopithecus diana",15
"154","Cercopithecus dryas",15
"155","Cercopithecus erythrogaster",15
"156","Cercopithecus erythrotis",15
"157","Cercopithecus hamlyni",15
"158","Cercopithecus lhoesti",15
"159","Cercopithecus lomamiensis",15
"160","Cercopithecus mitis",15
"161","Cercopithecus mona",15
"162","Cercopithecus neglectus",15
"163","Cercopithecus nictitans",15
"164","Cercopithecus petaurista",15
"165","Cercopithecus pogonias",15
"166","Cercopithecus preussi",15
"167","Cercopithecus sclateri",15
"168","Cercopithecus solatus",15
"169","Cerdocyon thous",15
"170","Cervus elaphus",15
"171","Cervus nippon",15
"172","Chaerephon plicatus",15
"173","Chaerephon pumilus",15
"174","Chaetodipus hispidus",15
"175","Chinchilla lanigera",15
"176","Chionomys roberti",15
"177","Chironectes minimus",15
"178","Chlorocebus aethiops",15
"179","Chlorocebus cynosuros",15
"180","Chlorocebus pygerythrus",15
"181","Chlorocebus sabaeus",15
"182","Chlorocebus tantalus",15
"183","Choeropsis liberiensis",15
"184","Choloepus didactylus",15
"185","Choloepus hoffmanni",15
"186","Chrotogale owstoni",15
"187","Chrotopterus auritus",15
"188","Chrysocyon brachyurus",15
"189","Civettictis civetta",15
"190","Coendou mexicanus",15
"191","Colobus angolensis",15
"192","Colobus guereza",15
"193","Colobus polykomos",15
"194","Connochaetes gnou",15
"195","Connochaetes taurinus",15
"196","Corynorhinus townsendii",15
"197","Cricetomys emini",15
"198","Cricetomys gambianus",15
"199","Cricetulus barabensis",15
"200","Cricetulus migratorius",15
"201","Crocidura lasiura",15
"202","Crocidura leucodon",15
"203","Crocidura littoralis",15
"204","Crocidura olivieri",15
"205","Crocidura russula",15
"206","Crocidura suaveolens",15
"207","Crocuta crocuta",15
"208","Ctenodactylus gundi",15
"209","Cuniculus paca",15
"210","Cyclopes didactylus",15
"211","Cynictis penicillata",15
"212","Cynomops abrasus",15
"213","Cynomops planirostris",15
"214","Cynomys gunnisoni",15
"215","Cynomys leucurus",15
"216","Cynomys ludovicianus",15
"217","Cynomys mexicanus",15
"218","Cynomys parvidens",15
"219","Cynopterus brachyotis",15
"220","Cynopterus sphinx",15
"221","Cystophora cristata",15
"222","Dama dama",15
"223","Damaliscus lunatus",15
"224","Damaliscus pygargus",15
"225","Dasymys incomtus",15
"226","Dasyprocta fuliginosa",15
"227","Dasyprocta leporina",15
"228","Dasyprocta punctata",15
"229","Dasypus novemcinctus",15
"230","Delphinapterus leucas",15
"231","Dendrolagus goodfellowi",15
"232","Dermanura cinereus",15
"233","Dermanura phaeotis",15
"234","Dermanura toltecus",15
"235","Desmodus rotundus",15
"236","Diaemus youngi",15
"237","Diceros bicornis",15
"238","Diclidurus albus",15
"239","Dicrostonyx groenlandicus",15
"240","Didelphis marsupialis",15
"241","Didelphis virginiana",15
"242","Diphylla ecaudata",15
"243","Diplomys labilis",15
"244","Dipodomys californicus",15
"245","Dipodomys heermanni",15
"246","Dipodomys merriami",15
"247","Dipodomys microps",15
"248","Dipodomys nitratoides",15
"249","Dipodomys ordii",15
"250","Dobsonia anderseni",15
"251","Dobsonia moluccensis",15
"252","Dryomys laniger",15
"253","Dryomys nitedula",15
"254","Eidolon dupreanum",15
"255","Eidolon helvum",15
"256","Eira barbara",15
"257","Elaphodus cephalophus",15
"258","Elaphurus davidianus",15
"259","Elephas maximus",15
"260","Eliomys melanurus",15
"261","Eliomys quercinus",15
"262","Eliurus majori",15
"263","Enhydra lutris",15
"264","Eonycteris spelaea",15
"265","Eothenomys melanogaster",15
"266","Epomophorus gambianus",15
"267","Epomophorus labiatus",15
"268","Epomophorus wahlbergi",15
"269","Epomops franqueti",15
"270","Eptesicus brasiliensis",15
"271","Eptesicus diminutus",15
"272","Eptesicus furinalis",15
"273","Eptesicus fuscus",15
"274","Eptesicus isabellinus",15
"275","Eptesicus serotinus",15
"276","Equus africanus",15
"277","Equus caballus",15
"278","Equus ferus",15
"279","Equus quagga",15
"280","Erethizon dorsatum",15
"281","Erinaceus europaeus",15
"282","Erinaceus roumanicus",15
"283","Erythrocebus patas",15
"284","Eschrichtius robustus",15
"285","Euderma maculatum",15
"286","Eudorcas thomsonii",15
"287","Eulemur albifrons",15
"288","Eulemur fulvus",15
"289","Eulemur macaco",15
"290","Eumetopias jubatus",15
"291","Eumops auripendulus",15
"292","Eumops bonariensis",15
"293","Eumops glaucinus",15
"294","Eumops patagonicus",15
"295","Eumops perotis",15
"296","Euoticus elegantulus",15
"297","Felis catus",15
"298","Felis nigripes",15
"299","Felis silvestris",15
"300","Funambulus pennantii",15
"301","Funambulus tristriatus",15
"302","Funisciurus anerythrus",15
"303","Funisciurus carruthersi",15
"304","Funisciurus pyrropus",15
"305","Galago senegalensis",15
"306","Galagoides demidovii",15
"307","Galictis cuja",15
"308","Gazella arabica",15
"309","Gazella bennettii",15
"310","Gazella dorcas",15
"311","Gazella gazella",15
"312","Gazella subgutturosa",15
"313","Genetta genetta",15
"314","Geomys bursarius",15
"315","Gerbillus dasyurus",15
"316","Gerbillus gerbillus",15
"317","Gerbillus pyramidum",15
"318","Giraffa camelopardalis",15
"319","Glaucomys volans",15
"320","Glauconycteris argentata",15
"321","Glirulus japonicus",15
"322","Glis glis",15
"323","Globicephala melas",15
"324","Glossophaga commissarisi",15
"325","Glossophaga longirostris",15
"326","Glossophaga morenoi",15
"327","Glossophaga soricina",15
"328","Golunda ellioti",15
"329","Gorilla beringei",15
"330","Gorilla gorilla",15
"331","Graomys griseoflavus",15
"332","Graphiurus kelleni",15
"333","Graphiurus lorraineus",15
"334","Graphiurus microtis",15
"335","Graphiurus murinus",15
"336","Graphiurus ocularis",15
"337","Graphiurus platyops",15
"338","Halichoerus grypus",15
"339","Handleyomys alfaroi",15
"340","Handleyomys fuscatus",15
"341","Helarctos malayanus",15
"342","Heliosciurus gambianus",15
"343","Heliosciurus rufobrachium",15
"344","Heliosciurus ruwenzorii",15
"345","Heliosciurus undulatus",15
"346","Hemitragus jemlahicus",15
"347","Herpailurus yagouaroundi",15
"348","Herpestes javanicus",15
"349","Herpestes pulverulentus",15
"350","Herpestes sanguineus",15
"351","Heteromys anomalus",15
"352","Hipposideros abae",15
"353","Hipposideros armiger",15
"354","Hipposideros bicolor",15
"355","Hipposideros caffer",15
"356","Hipposideros cineraceus",15
"357","Hipposideros gigas",15
"358","Hipposideros lankadiva",15
"359","Hipposideros larvatus",15
"360","Hipposideros pomona",15
"361","Hipposideros pratti",15
"362","Hipposideros speoris",15
"363","Hippotragus equinus",15
"364","Hippotragus niger",15
"365","Histiotus macrotus",15
"366","Histiotus montanus",15
"367","Histiotus velatus",15
"368","Hoplomys gymnurus",15
"369","Hybomys lunaris",15
"370","Hybomys univittatus",15
"371","Hydrochoerus hydrochaeris",15
"372","Hydromys chrysogaster",15
"373","Hydropotes inermis",15
"374","Hylaeamys laticeps",15
"375","Hylaeamys megacephalus",15
"376","Hylobates lar",15
"377","Hylobates pileatus",15
"378","Hylomyscus pamfi",15
"379","Hypsignathus monstrosus",15
"380","Hystrix cristata",15
"381","Hystrix indica",15
"382","Ia io",15
"383","Ichneumia albicauda",15
"384","Ictidomys tridecemlineatus",15
"385","Isoodon macrourus",15
"386","Isoodon obesulus",15
"387","Jaculus jaculus",15
"388","Kobus ellipsiprymnus",15
"389","Kobus kob",15
"390","Kobus leche",15
"391","Lagurus lagurus",15
"392","Lama glama",15
"393","Lama guanicoe",15
"394","Lasionycteris noctivagans",15
"395","Lasiorhinus latifrons",15
"396","Lasiurus blossevillii",15
"397","Lasiurus borealis",15
"398","Lasiurus cinereus",15
"399","Lasiurus egregius",15
"400","Lasiurus intermedius",15
"401","Lasiurus seminolus",15
"402","Lasiurus xanthinus",15
"403","Lemmus lemmus",15
"404","Lemmus sibiricus",15
"405","Lemniscomys striatus",15
"406","Lemur catta",15
"407","Leontocebus fuscicollis",15
"408","Leontocebus nigricollis",15
"409","Leontopithecus chrysomelas",15
"410","Leontopithecus rosalia",15
"411","Leopardus colocolo",15
"412","Leopardus pardalis",15
"413","Lepilemur edwardsi",15
"414","Lepilemur mustelinus",15
"415","Leptailurus serval",15
"416","Leptonychotes weddellii",15
"417","Leptonycteris curasoae",15
"418","Leptonycteris nivalis",15
"419","Lepus americanus",15
"420","Lepus californicus",15
"421","Lepus europaeus",15
"422","Lepus timidus",15
"423","Liomys adspersus",15
"424","Liomys salvini",15
"425","Lipotes vexillifer",15
"426","Litocranius walleri",15
"427","Lonchophylla robusta",15
"428","Lonchorhina aurita",15
"429","Lontra canadensis",15
"430","Lophocebus albigena",15
"431","Lophocebus aterrimus",15
"432","Lophostoma brasiliense",15
"433","Lophostoma silvicolum",15
"434","Lophuromys sikapusi",15
"435","Loxodonta africana",15
"436","Loxodontomys micropus",15
"437","Lutra lutra",15
"438","Lycaon pictus",15
"439","Lynx canadensis",15
"440","Lynx lynx",15
"441","Lynx rufus",15
"442","Macaca arctoides",15
"443","Macaca assamensis",15
"444","Macaca cyclopis",15
"445","Macaca fascicularis",15
"446","Macaca fuscata",15
"447","Macaca hecki",15
"448","Macaca leonina",15
"449","Macaca leucogenys",15
"450","Macaca maura",15
"451","Macaca mulatta",15
"452","Macaca munzala",15
"453","Macaca nemestrina",15
"454","Macaca nigra",15
"455","Macaca nigrescens",15
"456","Macaca ochreata",15
"457","Macaca pagensis",15
"458","Macaca radiata",15
"459","Macaca silenus",15
"460","Macaca sinica",15
"461","Macaca sylvanus",15
"462","Macaca thibetana",15
"463","Macaca tonkeana",15
"464","Macropus agilis",15
"465","Macropus dorsalis",15
"466","Macropus fuliginosus",15
"467","Macropus giganteus",15
"468","Macropus parryi",15
"469","Macropus robustus",15
"470","Macropus rufogriseus",15
"471","Macropus rufus",15
"472","Macrotis lagotis",15
"473","Macrotus californicus",15
"474","Madoqua kirkii",15
"475","Malacomys longipes",15
"476","Mandrillus leucophaeus",15
"477","Mandrillus sphinx",15
"478","Manis javanica",15
"479","Marmosa demerarae",15
"480","Marmosa murina",15
"481","Marmosa robinsoni",15
"482","Marmosops parvidens",15
"483","Marmota flaviventris",15
"484","Marmota himalayana",15
"485","Marmota monax",15
"486","Martes americana",15
"487","Martes foina",15
"488","Martes martes",15
"489","Martes pennanti",15
"490","Mastomys awashensis",15
"491","Mastomys erythroleucus",15
"492","Mastomys huberti",15
"493","Mastomys natalensis",15
"494","Maxomys surifer",15
"495","Mazama americana",15
"496","Megaderma lyra",15
"497","Megadontomys nelsoni",15
"498","Melanomys caliginosus",15
"499","Meles leucurus",15
"500","Meles meles",15
